counter,video_id,URL, ,Predicted type,Extracted Instance,True Instance,True type,Classification,,,,,,,
1,23,https://www.youtube.com/watch?v=0kgEjAAjxM8, ,-,-,-,-,-,,,,,,,
2,30,https://www.youtube.com/watch?v=15CzplT3A9k, ,-,-,-,-,-,,,,,,,
3,43,https://www.youtube.com/watch?v=2112ylDx7zs, ,-,-,-,-,-,,,,,,,
4,45,https://www.youtube.com/watch?v=2GXIOrWbsCQ, ,-,-,-,-,-,,,,,,,
5,66,https://www.youtube.com/watch?v=31xohxLERTc, ,-,-,-,-,-,,Precision,tp/tp+fp,,,,
6,69,https://www.youtube.com/watch?v=3COD45zhtX0, ,Organization,R2 Business Intelligence,Microsoft,Organization,FP,,Recall,tp/tp+fn,,,,
,,https://www.youtube.com/watch?v=3COD45zhtX0,,Organization,,Microsoft,Organization,FN,,,,,,,
,,https://www.youtube.com/watch?v=3COD45zhtX0,,Organization,,Microsoft,Organization,FN,,,,,,,
,,https://www.youtube.com/watch?v=3COD45zhtX0,,Organization,,Microsoft,Organization,FN,,Organization with company,,,,,
,,https://www.youtube.com/watch?v=3COD45zhtX0,,Organization,,Microsoft,Organization,FN,,tp,fp,fn,P,R,F1
,,https://www.youtube.com/watch?v=3COD45zhtX0,,Organization,,Microsoft,Organization,FN,,9,2,33,0.818181818,0.214285714,0.339622642
,,https://www.youtube.com/watch?v=3COD45zhtX0,,Organization,,Wikipedia,Organization,FN,,,,,,,
7,102,https://www.youtube.com/watch?v=5U3EnfiKs44, ,-,-,-,-,-,,Person,,,,,
8,123,https://www.youtube.com/watch?v=766wp1lXenw, ,-,-,-,-,-,,tp,fp,fn,P,R,F1
9,136,https://www.youtube.com/watch?v=7dxIPowxg3k, ,-,-,-,-,-,,14,1,3,0.933333333,0.823529412,0.875
10,156,https://www.youtube.com/watch?v=8wzihMxhwcc, ,-,-,-,-,-,,,,,,,
11,172,https://www.youtube.com/watch?v=9t47SO1pBhU, ,Company ,Oracle,Orcale,Organization,?????????,,,,,,,
12,174,https://www.youtube.com/watch?v=AAgKfvbH7ds, ,-,-,-,-,-,,,,,,,
13,175,https://www.youtube.com/watch?v=AC1cLmbXcqA, ,-,-,-,-,-,,,,,,,
14,178,https://www.youtube.com/watch?v=ANVwKmSPZcc, ,Company ,Microsoft,Microsoft,Organization,?????????,,,,,,,
15,189,https://www.youtube.com/watch?v=Af-vfQ7XSKs, ,Organization,Carnegie Mellon University,Carnegie Mellon University,Organization,TP,,,,,,,
,,https://www.youtube.com/watch?v=Af-vfQ7XSKs,,Person,Guy Blelloch,Guy Blelloch,Person,TP,,,,,,,
,,https://www.youtube.com/watch?v=Af-vfQ7XSKs,,Person,Danny Bickson,Danny Bickson,Person,TP,,,,,,,
,,https://www.youtube.com/watch?v=Af-vfQ7XSKs,,Company ,Microsoft,Microsoft,Organization,?????????,,Organization without company,,,,,
,,https://www.youtube.com/watch?v=Af-vfQ7XSKs,,Company ,Apple,Apple,Organization,?????????,,tp,fp,fn,P,R,F1
,,https://www.youtube.com/watch?v=Af-vfQ7XSKs,,Company ,Facebook,Facebook,Organization,?????????,,34,2,8,0.944444444,0.80952381,0.871794872
,,https://www.youtube.com/watch?v=Af-vfQ7XSKs,,Person,Carlos Guestrin,Carlos Guestrin,Person,TP,,,,,,,
,,https://www.youtube.com/watch?v=Af-vfQ7XSKs,,Person,,Aapo Kyrola,Person,FN,,,,,,,
16,236,https://www.youtube.com/watch?v=D-uSIKAIJ2M, ,-,-,-,-,-,,,,,,,
17,250,https://www.youtube.com/watch?v=E1cw6udR-7o, ,Organization,Delft University of Technology,Delft University of Technology,Organization,TP,,,,,,,
18,269,https://www.youtube.com/watch?v=FjKaRU5V1Rw, ,Company,Microsoft Corporation,Microsoft Corporation,Organization,?????????,,,,,,,
,,https://www.youtube.com/watch?v=FjKaRU5V1Rw,,Company,cognos,cognos,Organization,?????????,,,,,,,
,,https://www.youtube.com/watch?v=FjKaRU5V1Rw,,Company,Mozilla Corporation,Mozilla Corporation,Organization,?????????,,,,,,,
,,https://www.youtube.com/watch?v=FjKaRU5V1Rw,,Company,Apple Inc.,Apple Inc.,Organization,?????????,,,,,,,
,,https://www.youtube.com/watch?v=FjKaRU5V1Rw,,Company,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,Organization,?????????,,,,,,,
,,https://www.youtube.com/watch?v=FjKaRU5V1Rw,,Organization,,IBM,Organization,FN,,,,,,,
19,271,https://www.youtube.com/watch?v=Fm8yLLltZX8, ,Organization,Tutorial Business Intelligence,,Organization,FP,,,,,,,
20,273,https://www.youtube.com/watch?v=G18YECWHlaw, ,-,-,-,-,-,,,,,,,
21,277,https://www.youtube.com/watch?v=GGF4NExzZSw, ,-,-,-,-,-,,,,,,,
22,287,https://www.youtube.com/watch?v=H7oAofuZjjE, ,-,-,-,-,-,,,,,,,
23,304,https://www.youtube.com/watch?v=I9g-VGoYb-c, ,-,-,-,-,-,,,,,,,
24,306,https://www.youtube.com/watch?v=IOVrVOacLP8, ,-,-,-,-,-,,,,,,,
25,310,https://www.youtube.com/watch?v=IYAwvp4Odbs, ,Company,Alphabet Inc,Alphabet Inc,Organization,?????????,,,,,,,
26,338,https://www.youtube.com/watch?v=KTdJ661013s, ,Company,Microsoft,Microsoft,Organization,?????????,,,,,,,
,,https://www.youtube.com/watch?v=KTdJ661013s,,Company,Oracle,Oracle,Organization,?????????,,,,,,,
27,341,https://www.youtube.com/watch?v=KiC0o2LvD1I, ,-,-,-,-,-,,,,,,,
28,403,https://www.youtube.com/watch?v=OJnhzHjcrl0, ,-,-,-,-,-,,,,,,,
29,421,https://www.youtube.com/watch?v=PuIZCZ-5D7s, ,-,-,-,-,-,,,,,,,
30,423,https://www.youtube.com/watch?v=Pwp4p1iUs4I,  ,-,-,-,-,-,,,,,,,
31,451,https://www.youtube.com/watch?v=Rpju2zrlabg, ,Person,ALEX LLUMITAXI,ALEX LLUMITAXI,Person,TP,,,,,,,
,,https://www.youtube.com/watch?v=Rpju2zrlabg,,Person,Diego Palacios,Diego Palacios,Person,TP,,,,,,,
,,https://www.youtube.com/watch?v=Rpju2zrlabg,,Person,"LLUMITAXI
PAUL GAIBOR","LLUMITAXI
PAUL GAIBOR",Person,TP,,,,,,,
32,454,https://www.youtube.com/watch?v=RxCGk_8ML6g, ,-,-,-,-,-,,,,,,,
33,463,https://www.youtube.com/watch?v=SWu6DHmGGXY, ,-,-,-,-,-,,,,,,,
